company,from_date,to_date,sunday,monday,tuesday,wednesday,thursday,friday,saturday
TSB,2018-09-18,2019-11-29,0.0000,7.0000,7.0000,7.0000,7.0000,7.0000,0.0000
TSB,2019-12-02,2020-09-11,0.0000,8.7500,8.7500,0.0000,8.7500,8.7500,0.0000
Jaja,2020-09-14,2022-01-07,0.0000,7.5000,7.5000,7.5000,7.5000,7.5000,0.0000
Allica,2022-01-17,2022-12-16,0.0000,7.0000,7.0000,7.0000,7.0000,7.0000,0.0000
Sainsbury's,2023-01-09,2023-11-17,0.0000,7.4000,7.4000,7.4000,7.4000,7.4000,0.0000
Sainsbury's,2023-11-20,2024-07-12,0.0000,9.2500,9.2500,0.0000,9.2500,9.2500,0.0000
Sainsbury's,2024-07-15,,0.0000,7.4000,7.4000,7.4000,7.4000,7.4000,0.0000
